_id,name,min,max,val,employer,address,link
40592522,Главный инженер,100000.0,,руб, Компания РОСА,Кемерово,https://ramenskoye.hh.ru/vacancy/40592522?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40823202,Инженер-конструктор,70000.0,,руб, Балтийская Промышленная Компания,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/40823202?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41132368,Инженер мультимедиа,100000.0,,руб,ООО СМАРТ РУМС,"Москва, Павелецкая и еще 1 ",https://ramenskoye.hh.ru/vacancy/41132368?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41021362,Инженер-технолог,45000.0,60000.0,руб,ООО Строй-Енисей,Красноярск,https://ramenskoye.hh.ru/vacancy/41021362?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41113821,Инженер-проектировщик,40000.0,,руб,АО Проектный институт Башкиргражданпроект,Уфа,https://ramenskoye.hh.ru/vacancy/41113821?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40687094,Инженер-проектировщик,100000.0,,руб,ООО Джиэсэм Кемикэл,Москва,https://ramenskoye.hh.ru/vacancy/40687094?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41020503,QA-инженер (инженер по качеству),90000.0,,руб, Digital Sparta,Новосибирск,https://ramenskoye.hh.ru/vacancy/41020503?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41098160,Инженер-специалист,,,,АО Международный аэропорт Шереметьево,"Москва, Шереметьевская",https://ramenskoye.hh.ru/vacancy/41098160?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40746310,Сервисный инженер,35000.0,,руб,ООО Инженерный центр 7,Нальчик,https://ramenskoye.hh.ru/vacancy/40746310?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40638028,Инженер-разработчик . инженер электроники,60000.0,90000.0,руб,ООО НПП Дериа Графикс,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/40638028?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40989868,Инженер-энергетик,70000.0,,руб," РИВ ГОШ, Сеть магазинов","Санкт-Петербург, Балтийская",https://ramenskoye.hh.ru/vacancy/40989868?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41065072,Инженер-технолог,,15000.0,грн,ООО ТОВ СУДНОБУДІВНИЙ ЗАВОД ОКЕАН,Николаев,https://ramenskoye.hh.ru/vacancy/41065072?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
