num,name,compensation,link,employer,address,site
80,Инженер (ПИК.ПРО),"{'min': 100000, 'max': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40951118?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Группа компаний ПИК,Москва,https://hh.ru
81,Инженер-электрик,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40820831?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ТОО TURKISTAN INTERNATIONAL AIRPORT (ТУРКИСТАН ИНТЕРНЭШНЛ АЭРОПОРТ),Туркестан,https://hh.ru
82,Инженер АСБ,"{'min': 80000, 'max': 80000, 'val': 'руб'}",https://hh.ru/vacancy/40630680?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Телеканал «Е»,"Москва, Водный стадион",https://hh.ru
83,Инженер,"{'min': 200000, 'max': 300000, 'val': 'KZT'}",https://hh.ru/vacancy/40948656?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ТОО ESQ (ЭСКью),"Алматы, Райымбек батыра",https://hh.ru
84,Главный инженер,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40966072?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Шеф Маркет,"Москва, Кантемировская и еще 1 ",https://hh.ru
85,Инженер-теплотехник,"{'min': 250, 'max': 900, 'val': 'руб'}",https://hh.ru/vacancy/40962433?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Парус,"Санкт-Петербург, Девяткино",https://hh.ru
86,Инженер КИПиА,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40970527?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ТОО ДДС-Плюс,Караганда,https://hh.ru
87,Инженер по качеству,"{'min': 40000, 'val': 'руб'}",https://hh.ru/vacancy/39971110?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО РИТМ ТПТА,Тверь,https://hh.ru
88,Инженер ПТО,"{'min': 91000, 'max': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40503552?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО НОВОИНЖИНИРИНГ,Тольятти,https://hh.ru
89,Главный инженер,"{'min': 70000, 'max': 150000, 'val': 'руб'}",https://hh.ru/vacancy/40752059?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Агрофирма Чистопольская,Чистополь,https://hh.ru
90,Инженер-электроник,"{'min': 130000, 'max': 130000, 'val': 'руб'}",https://hh.ru/vacancy/40735480?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Удмуртнефтегеофизика,Ижевск,https://hh.ru
91,Инженер (электромонтер),"{'min': 35000, 'max': 45000, 'val': 'руб'}",https://hh.ru/vacancy/40872631?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Энергоальянс,Краснодар,https://hh.ru
92,Инженер по обеспечению,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40984876?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Группа Компаний Петро Велт Технолоджис,Муравленко,https://hh.ru
93,Инженер ПТО,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40976747?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, ЛСР. Базовые,Санкт-Петербург,https://hh.ru
94,Инженер,"{'min': 50000, 'val': 'руб'}",https://hh.ru/vacancy/40737359?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ЗАО Морские Комплексы и Системы,"Санкт-Петербург, Пролетарская",https://hh.ru
95,Сервисный инженер,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40971679?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, БТЕ,Санкт-Петербург,https://hh.ru
96,Инженер по качеству,"{'min': 35000, 'max': 40000, 'val': 'руб'}",https://hh.ru/vacancy/40836628?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Барси,Нижний Новгород,https://hh.ru
97,Инженер-химик,"{'min': 30000, 'max': 40000, 'val': 'руб'}",https://hh.ru/vacancy/40760949?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Уральский центр охраны труда и экологии,Каменск-Уральский,https://hh.ru
98,Инженер-сметчик,"{'min': 350000, 'max': 450000, 'val': 'KZT'}",https://hh.ru/vacancy/40901847?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80," Сембол Улусларарасы Тарым Туризм Пейзаж Иншаат СанайивеТиджарет Аноним Ширкети в г.Астана, ФАО",Нур-Султан,https://hh.ru
99,Инженер по продажам,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40952137?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Спиракс-Сарко Инжиниринг,Воронеж,https://hh.ru
100,Главный инженер,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40949800?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ГК Башкирские Инженерные Сети,Уфа,https://hh.ru
101,Инженер-лаборант,"{'min': 40000, 'max': 50000, 'val': 'руб'}",https://hh.ru/vacancy/40416327?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ДК КЛЕВЕР,Иркутск,https://hh.ru
102,Инженер ПТО,"{'min': 40000, 'val': 'руб'}",https://hh.ru/vacancy/40970702?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ГК Стрижи,Новосибирск,https://hh.ru
103,Инженер-метролог,"{'min': 40000, 'val': 'руб'}",https://hh.ru/vacancy/40731472?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80," Турбулентность-Дон, Группа компаний",Ростов-на-Дону,https://hh.ru
104,Инженер в отель,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40525981?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Деташе,Санкт-Петербург,https://hh.ru
105,Инженер-энергетик,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40978994?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ДСК Пластик Омниум Инержи,Владимир,https://hh.ru
106,Инженер-метрист (инженер по испытаниям),"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40715717?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО Светлана-Электронприбор,Санкт-Петербург,https://hh.ru
107,Инженер-химик,"{'min': 40000, 'max': 45000, 'val': 'руб'}",https://hh.ru/vacancy/40978044?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Экология-к,Краснодар,https://hh.ru
108,Инженер-строитель,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40898475?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Дана Холдингз,"Минск, Институт Культуры",https://hh.ru
